"position","row_id","entrez_id","symbol","group","source"
156,"gene3597","3597","IL13RA1","CUR_07","Reactome (reactome.db 1.95.0)"
157,"gene5802","5802","PTPRS","CUR_12","Reactome (reactome.db 1.95.0)"
158,"gene23569","23569","PADI4","CUR_unassigned","Reactome (reactome.db 1.95.0)"
159,"gene1831","1831","TSC22D3","CUR_09","Reactome (reactome.db 1.95.0)"
160,"gene10578","10578","GNLY","CUR_04","Reactome (reactome.db 1.95.0)"
161,"gene1088","1088","CEACAM8","CUR_04","Reactome (reactome.db 1.95.0)"
162,"gene7453","7453","WARS1","CUR_05","Reactome (reactome.db 1.95.0)"
163,"gene3992","3992","FADS1","CUR_03","Reactome (reactome.db 1.95.0)"
164,"gene6279","6279","S100A8","CUR_07","Reactome (reactome.db 1.95.0)"
165,"gene6768","6768","ST14","CUR_16","Reactome (reactome.db 1.95.0)"
166,"gene147700","147700","KLC3","CUR_10","Reactome (reactome.db 1.95.0)"
167,"gene2867","2867","FFAR2","CUR_02","Reactome (reactome.db 1.95.0)"
168,"gene9021","9021","SOCS3","CUR_18","Reactome (reactome.db 1.95.0)"
169,"gene6210","6210","RPS15A","CUR_17","Reactome (reactome.db 1.95.0)"
170,"gene3674","3674","ITGA2B","CUR_07","Reactome (reactome.db 1.95.0)"
171,"gene83547","83547","RILP","CUR_15","Reactome (reactome.db 1.95.0)"
172,"gene729230","729230","CCR2","CUR_02","Reactome (reactome.db 1.95.0)"
173,"gene5473","5473","PPBP","CUR_02","Reactome (reactome.db 1.95.0)"
174,"gene3988","3988","LIPA","CUR_09","Reactome (reactome.db 1.95.0)"
175,"gene7504","7504","XK","CUR_02","Reactome (reactome.db 1.95.0)"
176,"gene3985","3985","LIMK2","CUR_11","Reactome (reactome.db 1.95.0)"
177,"gene19","19","ABCA1","CUR_03","Reactome (reactome.db 1.95.0)"
178,"gene10498","10498","CARM1","CUR_03","Reactome (reactome.db 1.95.0)"
179,"gene51465","51465","UBE2J1","CUR_18","Reactome (reactome.db 1.95.0)"
180,"gene2064","2064","ERBB2","CUR_07","Reactome (reactome.db 1.95.0)"
181,"gene3690","3690","ITGB3","CUR_07","Reactome (reactome.db 1.95.0)"
182,"gene1066","1066","CES1","CUR_03","Reactome (reactome.db 1.95.0)"
183,"gene342510","342510","CD300E","CUR_15","Reactome (reactome.db 1.95.0)"
184,"gene2876","2876","GPX1","CUR_03","Reactome (reactome.db 1.95.0)"
185,"gene5029","5029","P2RY2","CUR_02","Reactome (reactome.db 1.95.0)"
186,"gene1236","1236","CCR7","CUR_02","Reactome (reactome.db 1.95.0)"
187,"gene59269","59269","HIVEP3","CUR_01","Reactome (reactome.db 1.95.0)"
188,"gene222487","222487","ADGRG3","CUR_04","Reactome (reactome.db 1.95.0)"
189,"gene5037","5037","PEBP1","CUR_07","Reactome (reactome.db 1.95.0)"
190,"gene4051","4051","CYP4F3","CUR_03","Reactome (reactome.db 1.95.0)"
191,"gene23166","23166","STAB1","CUR_10","Reactome (reactome.db 1.95.0)"
192,"gene3956","3956","LGALS1","CUR_08","Reactome (reactome.db 1.95.0)"
193,"gene27244","27244","SESN1","CUR_01","Reactome (reactome.db 1.95.0)"
194,"gene4066","4066","LYL1","CUR_12","Reactome (reactome.db 1.95.0)"
195,"gene6283","6283","S100A12","CUR_07","Reactome (reactome.db 1.95.0)"
