"position","row_id","entrez_id","symbol","group","source"
248,"gene5196","5196","PF4","FM_20","scGPT"
249,"gene3820","3820","KLRB1","FM_04","scGPT"
250,"gene23129","23129","PLXND1","FM_13","scGPT"
251,"gene59283","59283","CACNG8","FM_03","scGPT"
252,"gene84034","84034","EMILIN2","FM_13","scGPT"
253,"gene6231","6231","RPS26","FM_05","scGPT"
254,"gene6235","6235","RPS29","FM_05","scGPT"
255,"gene90480","90480","GADD45GIP1","FM_06","scGPT"
256,"gene64407","64407","RGS18","FM_20","scGPT"
257,"gene5144","5144","PDE4D","FM_01","scGPT"
258,"gene84333","84333","PCGF5","FM_01","scGPT"
259,"gene203","203","AK1","FM_19","scGPT"
260,"gene3560","3560","IL2RB","FM_04","scGPT"
261,"gene5866","5866","RAB3IL1","FM_02","scGPT"
262,"gene925","925","CD8A","FM_04","scGPT"
263,"gene939","939","CD27","FM_04","scGPT"
264,"gene1028","1028","CDKN1C","FM_07","scGPT"
265,"gene11224","11224","RPL35","FM_05","scGPT"
266,"gene7850","7850","IL1R2","FM_15","scGPT"
267,"gene54438","54438","GFOD1","FM_01","scGPT"
268,"gene7045","7045","TGFBI","FM_14","scGPT"
269,"gene83716","83716","CRISPLD2","FM_07","scGPT"
270,"gene5729","5729","PTGDR","FM_04","scGPT"
271,"gene2791","2791","GNG11","FM_20","scGPT"
272,"gene2812","2812","GP1BB","FM_20","scGPT"
273,"gene3067","3067","HDC","FM_12","scGPT"
274,"gene1595","1595","CYP51A1","FM_19","scGPT"
275,"gene54543","54543","TOMM7","FM_10","scGPT"
276,"gene116844","116844","LRG1","FM_16","scGPT"
277,"gene7264","7264","GFUS","FM_08","scGPT"
278,"gene83666","83666","PARP9","FM_09","scGPT"
279,"gene6222","6222","RPS18","FM_05","scGPT"
280,"gene9491","9491","PSMF1","FM_08","scGPT"
281,"gene596","596","BCL2","FM_01","scGPT"
282,"gene6234","6234","RPS28","FM_05","scGPT"
283,"gene2288","2288","FKBP4","FM_06","scGPT"
284,"gene6590","6590","SLPI","FM_12","scGPT"
285,"gene896","896","CCND3","FM_07","scGPT"
286,"gene3792","3792","KEL","FM_08","scGPT"
287,"gene259197","259197","NCR3","FM_04","scGPT"
288,"gene401258","401258","RAB44","FM_02","scGPT"
289,"gene6208","6208","RPS14","FM_05","scGPT"
290,"gene8685","8685","MARCO","FM_15","scGPT"
291,"gene131870","131870","NUDT16","FM_13","scGPT"
292,"gene8807","8807","IL18RAP","FM_04","scGPT"
293,"gene27343","27343","POLL","FM_02","scGPT"
294,"gene8671","8671","SLC4A4","FM_01","scGPT"
295,"gene100133941","100133941","CD24","FM_11","scGPT"
296,"gene9997","9997","SCO2","FM_19","scGPT"
297,"gene6510","6510","SLC1A5","FM_08","scGPT"
298,"gene6708","6708","SPTA1","FM_08","scGPT"
299,"gene8911","8911","CACNA1I","FM_03","scGPT"
300,"gene57823","57823","SLAMF7","FM_13","scGPT"
301,"gene9976","9976","CLEC2B","FM_14","scGPT"
302,"gene6678","6678","SPARC","FM_11","scGPT"
303,"gene6223","6223","RPS19","FM_05","scGPT"
304,"gene1191","1191","CLU","FM_18","scGPT"
